,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
431,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
433,Caucasian,18-29,Misdemeanor,Other,1-5,None,1-5,no
434,Caucasian,18-29,Criminal Traffic,Other,None,1-5,None,yes
435,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
436,African American,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
438,African American,30-39,Misdemeanor,Battery,1-5,6-10,None,yes
439,Other,30-39,Felony,Other,1-5,None,None,no
440,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
441,Caucasian,18-29,Felony,Other,1-5,None,1-5,yes
442,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
443,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
444,African American,40-49,Criminal Traffic,OAR/OAS,6-10,6-10,1-5,yes
445,Caucasian,18-29,Criminal Traffic,OAR/OAS,6-10,1-5,None,yes
446,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
447,Caucasian,30-39,Misdemeanor,Battery,None,None,1-5,no
448,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
449,African American,18-29,Misdemeanor,Battery,None,None,None,no
450,African American,40-49,Felony,Burglary,1-5,None,None,yes
451,African American,30-39,Criminal Traffic,OAR/OAS,None,None,None,yes
452,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
453,Caucasian,40-49,Felony,Other,1-5,1-5,None,no
454,Other,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
455,African American,18-29,Felony,Other,1-5,1-5,6-10,no
456,Other,18-29,Misdemeanor,Battery,None,None,None,no
457,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
458,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
459,Other,40-49,Misdemeanor,Disorderly Conduct,6-10,1-5,None,yes
460,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,None,no
461,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
462,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,yes
463,Caucasian,18-29,Misdemeanor,Battery,None,None,None,yes
464,Caucasian,18-29,Felony,Other,None,1-5,None,yes
465,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
467,African American,18-29,Misdemeanor,Bail Jumping,None,1-5,None,yes
468,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
469,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
470,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
471,African American,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
472,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
473,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
474,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
475,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,6-10,6-10,yes
476,African American,40-49,Misdemeanor,Resisting Officer,1-5,None,1-5,no
477,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
478,Caucasian,18-29,Felony,Other,None,None,None,no
479,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
480,African American,18-29,Misdemeanor,Bail Jumping,1-5,1-5,None,yes
481,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,yes
482,Caucasian,30-39,Misdemeanor,Other,1-5,None,None,no
483,Caucasian,30-39,Felony,Other,None,None,1-5,no
484,African American,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
485,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,1-5,no
486,Other,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
487,Caucasian,30-39,Misdemeanor,Other,6-10,1-5,More than 10,no
488,African American,18-29,Misdemeanor,Battery,None,None,None,no
489,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
490,Caucasian,50-59,Criminal Traffic,OAR/OAS,None,None,1-5,no
491,Caucasian,18-29,Felony,Battery,1-5,None,1-5,yes
492,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
493,Caucasian,40-49,Felony,Other,None,None,None,no
494,African American,50-59,Felony,Other,None,6-10,None,no
495,Other,18-29,Misdemeanor,Other,1-5,1-5,None,no
496,Caucasian,40-49,Felony,Bail Jumping,1-5,None,None,no
497,Caucasian,30-39,Criminal Traffic,Other,1-5,1-5,None,no
498,Caucasian,30-39,Misdemeanor,Bail Jumping,None,None,1-5,no
500,African American,18-29,Misdemeanor,Battery,1-5,6-10,None,no
501,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
502,Caucasian,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
503,Other,18-29,Criminal Traffic,Other,None,None,None,no
504,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
505,Caucasian,18-29,Felony,Other,None,1-5,None,no
506,African American,Younger than 18,Felony,Other,None,None,None,yes
507,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
508,Caucasian,30-39,Felony,Other,1-5,1-5,None,yes
509,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,6-10,1-5,yes
511,Caucasian,Older than 60,Felony,Other,None,None,1-5,no
512,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
513,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
514,Caucasian,50-59,Misdemeanor,Resisting Officer,None,None,None,no
515,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,1-5,1-5,None,yes
516,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
517,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
518,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
519,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
520,African American,18-29,Misdemeanor,Other,None,None,None,no
522,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
523,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,no
524,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
525,African American,18-29,Misdemeanor,Bail Jumping,None,1-5,None,yes
526,Caucasian,30-39,Felony,Other,1-5,1-5,None,yes
527,African American,30-39,Misdemeanor,Other,None,1-5,None,no
528,Caucasian,30-39,Criminal Traffic,Other,None,None,None,no
529,Other,Younger than 18,Felony,Other,1-5,None,None,yes
530,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
532,African American,18-29,Felony,Other,1-5,1-5,None,no
533,Caucasian,18-29,Misdemeanor,Operating While Intoxicated,None,1-5,None,yes
534,Caucasian,18-29,Felony,Burglary,1-5,None,None,yes
535,Caucasian,30-39,Felony,Burglary,None,1-5,None,no
537,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
538,African American,30-39,Criminal Traffic,OAR/OAS,None,6-10,1-5,yes
539,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,no
540,Caucasian,18-29,Felony,Other,None,None,None,yes
541,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
542,Caucasian,Older than 60,Misdemeanor,Other,1-5,None,None,no
543,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
544,Other,50-59,Criminal Traffic,OAR/OAS,None,None,None,yes
545,Caucasian,50-59,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
546,Caucasian,30-39,Misdemeanor,Battery,None,1-5,1-5,yes
547,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,yes
548,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
550,Other,30-39,Misdemeanor,Other,None,None,1-5,no
551,African American,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
552,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,None,yes
553,Caucasian,18-29,Felony,Other,1-5,None,1-5,yes
554,Other,18-29,Felony,Bail Jumping,1-5,None,1-5,no
555,African American,18-29,Felony,Disorderly Conduct,1-5,1-5,1-5,yes
556,African American,18-29,Misdemeanor,Bail Jumping,1-5,1-5,None,no
557,Caucasian,50-59,Misdemeanor,Other,None,1-5,None,yes
558,Caucasian,18-29,Misdemeanor,Other,None,6-10,None,yes
559,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
560,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
561,African American,18-29,Felony,Other,None,None,None,no
562,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
563,Other,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
564,African American,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,no
565,Other,40-49,Criminal Traffic,OAR/OAS,None,None,None,yes
566,African American,18-29,Felony,Other,None,1-5,None,yes
567,Other,18-29,Felony,Burglary,None,None,None,yes
568,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
569,Caucasian,18-29,Criminal Traffic,Other,None,None,None,no
570,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
571,Other,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
572,Other,18-29,Felony,Bail Jumping,None,None,None,no
573,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,no
574,Caucasian,30-39,Felony,Other,6-10,1-5,1-5,no
575,African American,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
576,African American,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
577,African American,18-29,Felony,Other,1-5,1-5,None,yes
578,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
579,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
580,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,no
581,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
582,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
583,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,None,None,no
584,Other,40-49,Criminal Traffic,Other,None,None,None,no
585,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
586,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
587,Other,18-29,Criminal Traffic,Other,None,1-5,None,yes
588,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
589,African American,18-29,Misdemeanor,Other,None,None,None,no
590,Other,Younger than 18,Misdemeanor,Battery,None,None,None,no
591,African American,18-29,Misdemeanor,Battery,None,None,None,no
592,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
593,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
594,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
595,African American,18-29,Felony,Other,None,None,None,yes
596,African American,Younger than 18,Misdemeanor,Resisting Officer,None,None,None,yes
597,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
598,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
599,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,1-5,yes
600,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
601,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
602,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
603,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
604,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,yes
605,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
606,African American,30-39,Misdemeanor,Other,None,1-5,None,yes
607,Other,30-39,Misdemeanor,Battery,None,None,None,no
608,Other,18-29,Misdemeanor,Resisting Officer,1-5,1-5,6-10,no
609,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
610,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
611,Caucasian,18-29,Felony,Other,None,6-10,None,no
612,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
613,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
614,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
615,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
617,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
618,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,6-10,yes
619,Caucasian,30-39,Misdemeanor,Battery,None,None,1-5,no
620,African American,18-29,Misdemeanor,Other,None,None,1-5,yes
621,Other,18-29,Misdemeanor,Other,None,None,1-5,no
622,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
623,Caucasian,40-49,Felony,Bail Jumping,1-5,1-5,None,no
624,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
625,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
626,Caucasian,18-29,Felony,Other,None,None,None,no
627,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
628,African American,18-29,Felony,Other,None,None,None,no
629,Other,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
630,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,6-10,None,yes
631,Caucasian,Younger than 18,Felony,Other,None,None,None,no
632,African American,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
633,Caucasian,50-59,Felony,Other,None,1-5,1-5,yes
634,Caucasian,Younger than 18,Felony,Burglary,1-5,None,None,yes
635,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
636,Other,40-49,Criminal Traffic,Other,None,None,1-5,no
637,Other,18-29,Misdemeanor,OAR/OAS,1-5,None,1-5,yes
639,African American,30-39,Felony,Other,1-5,None,None,no
640,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
641,Caucasian,30-39,Felony,Other,None,None,1-5,yes
642,Caucasian,30-39,Felony,Other,None,None,None,no
643,Caucasian,40-49,Misdemeanor,Battery,None,None,None,no
644,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
645,Other,18-29,Criminal Traffic,Other,None,None,None,yes
646,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
647,Caucasian,40-49,Felony,Bail Jumping,1-5,1-5,6-10,no
648,Caucasian,18-29,Felony,Other,None,None,None,no
649,Caucasian,30-39,Felony,Burglary,None,None,None,no
650,Caucasian,Younger than 18,Misdemeanor,Resisting Officer,None,1-5,None,yes
651,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
652,African American,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,yes
654,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
655,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
656,Caucasian,18-29,Felony,Battery,None,1-5,1-5,yes
657,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
658,Caucasian,18-29,Felony,Other,None,None,None,yes
659,African American,40-49,Misdemeanor,Battery,None,None,1-5,no
660,Caucasian,40-49,Misdemeanor,Bail Jumping,None,None,1-5,yes
661,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
662,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
663,Caucasian,18-29,Felony,Burglary,1-5,1-5,None,yes
664,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
665,African American,18-29,Misdemeanor,Other,None,None,None,no
666,Other,18-29,Misdemeanor,Other,1-5,1-5,None,no
667,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,no
668,Caucasian,18-29,Felony,Other,None,None,None,no
669,Caucasian,30-39,Felony,Other,None,None,None,no
670,Caucasian,50-59,Felony,Other,None,1-5,1-5,no
671,Other,18-29,Felony,Other,1-5,None,1-5,yes
672,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
673,Caucasian,30-39,Felony,Battery,None,1-5,None,no
674,Caucasian,18-29,Felony,Other,None,1-5,None,yes
675,Caucasian,Younger than 18,Criminal Traffic,Other,None,None,None,yes
676,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
677,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
679,Other,18-29,Misdemeanor,Resisting Officer,None,None,None,no
680,African American,40-49,Felony,Other,1-5,1-5,1-5,no
681,Caucasian,18-29,Criminal Traffic,Other,1-5,1-5,1-5,yes
682,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
683,Caucasian,50-59,Felony,Other,None,None,1-5,no
684,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
685,African American,30-39,Misdemeanor,Other,None,1-5,None,yes
686,Other,18-29,Felony,Other,None,None,None,no
687,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
688,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
689,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
690,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
691,African American,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
692,Caucasian,30-39,Felony,Other,None,None,None,no
693,Caucasian,18-29,Felony,Other,1-5,None,None,no
694,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
695,African American,30-39,Felony,Other,None,1-5,1-5,no
696,Other,30-39,Felony,Other,1-5,None,None,no
697,Caucasian,50-59,Felony,Other,None,None,None,no
698,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,1-5,None,yes
700,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
701,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
702,African American,40-49,Felony,Other,1-5,1-5,None,no
703,Caucasian,18-29,Criminal Traffic,Other,None,None,None,no
704,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
705,African American,18-29,Misdemeanor,Other,None,1-5,None,no
706,Caucasian,30-39,Felony,Other,1-5,1-5,None,yes
707,Caucasian,18-29,Felony,Burglary,None,None,None,no
708,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,1-5,yes
709,Caucasian,40-49,Felony,Other,1-5,1-5,1-5,no
710,Caucasian,18-29,Felony,Other,None,None,None,no
712,Caucasian,Younger than 18,Felony,Other,None,None,None,yes
713,Caucasian,Older than 60,Criminal Traffic,Other,None,None,1-5,no
714,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
715,African American,18-29,Felony,Other,None,None,None,no
716,Other,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
717,Other,Younger than 18,Misdemeanor,Other,None,1-5,None,no
718,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
719,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
720,Caucasian,40-49,Misdemeanor,Resisting Officer,6-10,1-5,None,yes
721,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,yes
722,African American,18-29,Misdemeanor,Battery,None,None,None,no
723,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
724,African American,50-59,Criminal Traffic,Other,None,None,None,no
725,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
726,African American,30-39,Felony,Bail Jumping,1-5,None,1-5,no
727,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,More than 10,1-5,no
728,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
729,Other,50-59,Criminal Traffic,Other,None,None,1-5,yes
730,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
731,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,no
732,Caucasian,30-39,Felony,Other,None,None,None,no
733,Caucasian,18-29,Misdemeanor,Battery,1-5,6-10,1-5,no
735,Other,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
737,Caucasian,Younger than 18,Felony,Other,None,None,None,yes
738,Caucasian,18-29,Felony,Other,None,1-5,None,yes
739,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
740,African American,50-59,Misdemeanor,Other,1-5,1-5,1-5,yes
741,Other,30-39,Felony,Other,1-5,6-10,1-5,yes
742,Caucasian,18-29,Felony,Burglary,1-5,None,None,yes
743,African American,30-39,Misdemeanor,Battery,None,1-5,None,no
744,Caucasian,50-59,Misdemeanor,Other,1-5,None,None,no
745,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
746,Caucasian,30-39,Misdemeanor,Other,6-10,None,1-5,no
747,African American,40-49,Misdemeanor,Other,1-5,6-10,None,yes
748,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
749,Caucasian,50-59,Misdemeanor,Resisting Officer,None,None,None,yes
750,Caucasian,18-29,Felony,Other,1-5,None,None,no
751,Caucasian,18-29,Felony,Other,None,1-5,None,no
752,African American,18-29,Misdemeanor,Other,None,6-10,None,yes
753,Caucasian,18-29,Misdemeanor,Other,None,1-5,1-5,yes
754,Other,18-29,Criminal Traffic,Other,None,None,1-5,yes
755,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
756,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
757,Caucasian,30-39,Misdemeanor,Other,None,None,None,yes
758,Caucasian,30-39,Felony,Other,None,None,None,no
759,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
760,African American,18-29,Misdemeanor,Other,None,None,None,yes
761,Caucasian,30-39,Misdemeanor,Other,None,1-5,1-5,no
762,African American,50-59,Misdemeanor,Battery,1-5,1-5,None,no
764,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
765,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
766,Caucasian,18-29,Felony,Burglary,1-5,More than 10,More than 10,yes
767,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
769,Caucasian,18-29,Felony,Other,1-5,None,None,no
770,Caucasian,Younger than 18,Felony,Other,None,None,None,yes
771,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
772,African American,18-29,Felony,Other,None,None,None,no
773,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
